"Contents","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21"
"Table 5a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Median house price (existing dwellings) by local authority district, England and Wales, year ending September 2002 to year ending September 2018 (£)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Region code","Region name","Local authority code","Local authority name","Year ending Sep 2002","Year ending Sep 2003","Year ending Sep 2004","Year ending Sep 2005","Year ending Sep 2006","Year ending Sep 2007","Year ending Sep 2008","Year ending Sep 2009","Year ending Sep 2010","Year ending Sep 2011","Year ending Sep 2012","Year ending Sep 2013","Year ending Sep 2014","Year ending Sep 2015","Year ending Sep 2016","Year ending Sep 2017","Year ending Sep 2018"
"E12000001","North East","E06000047","County Durham","45500","54500","73000","85000","92500","98955","100000","95000","102000","93675","93000","95000","100000","99622","100000","102500","105000"
"E12000001","North East","E06000005","Darlington","55000","65000","89500","100000","109950","120000","119000","117500","123000","119000","118000","115000","120000","123000","127500","130600","129000"
"E12000001","North East","E06000001","Hartlepool","43950","45000","50000","57500","82000","97500","102000","90000","100000","98000","95000","109000","103000","110000","110000","112500","110000"
"E12000001","North East","E06000002","Middlesbrough","45500","45000","60000","70000","92375","102000","95000","102000","104975","93000","99000","102000","113250","110000","120000","112000","120000"
"E12000001","North East","E06000057","Northumberland","63000","79950","101000","115000","129400","135000","140000","130000","140000","131150","133000","132000","140000","148200","147250","150000","150000"
"E12000001","North East","E06000003","Redcar and Cleveland","51000","64247.5","82000","95000","110000","120000","117500","113750","117500","110000","112000","112000","120000","123000","123000","122000","125000"
"E12000001","North East","E06000004","Stockton-on-Tees","59000","74997.5","95000","105000","119950","128000","124950","122000","126500","122500","123500","125000","130000","132500","132000","131000","135000"
"E12000001","North East","E08000037","Gateshead","55000","67500","86500","95000","110000","115750","116000","115000","115000","112000","110000","117000","119950","124500","124000","127000","129950"
"E12000001","North East","E08000021","Newcastle upon Tyne","72000","89950","119500","120000","136000","143000","140000","129950","139000","132500","130000","131983","135000","145350","150000","150000","155000"
"E12000001","North East","E08000022","North Tyneside","59950","79950","104000","110000","120000","129975","126500","125000","137000","130000","130500","133000","138000","145000","149500","150000","155000"
"E12000001","North East","E08000023","South Tyneside","49500","60000","81000","93950","104000","112000","111950","104000","110000","101675","103500","110000","110000","117500","122000","121000","127500"
"E12000001","North East","E08000024","Sunderland","50000","62000","82500","92000","101000","110000","108500","99950","105000","100000","100500","104000","105000","109250","111000","115000","117500"
"E12000002","North West","E06000008","Blackburn with Darwen","39000","45000","60000","75000","85000","96000","100000","97000","97000","91500","95000","95000","93500","100000","102500","105000","110000"
"E12000002","North West","E06000009","Blackpool","54000","67000","86950","100000","112000","117500","117000","102000","105000","98000","95000","94000","99000","100000","103000","110000","110000"
"E12000002","North West","E06000049","Cheshire East","95950","120000","141200","152500","160000","170000","175000","165000","175000","169000","170000","170000","180000","185000","192000","204997.5","219950"
"E12000002","North West","E06000050","Cheshire West and Chester","89000","109500","135000","145000","152500","160000","161000","155000","163000","155950","156000","160000","162000","172000","177500","182000","188000"
"E12000002","North West","E06000006","Halton","56000","69000","85000","99000","110000","115000","116000","113000","120000","110000","109725","111562.5","118500","120000","125000","130000","130000"
"E12000002","North West","E06000007","Warrington","82500","98000","125000","134000","138000","147000","146000","138125","149995","145000","146000","146000","152000","159950","160000","172500","175000"
"E12000002","North West","E07000026","Allerdale","58950","70000","90000","105000","123000","140000","136000","130000","144000","130562","135000","135000","138000","139950","136000","149950","154800"
"E12000002","North West","E07000027","Barrow-in-Furness","39500","45000","56000","70000","80000","89950","100000","90750","102000","95000","92000","98750","100000","105000","111500","117250","119975"
"E12000002","North West","E07000028","Carlisle","52000","66000","87000","99950","115000","123000","123000","115950","121000","118500","120000","120000","122500","121000","125000","125000","133750"
"E12000002","North West","E07000029","Copeland","43250","49000","68000","83000","93000","105000","110000","99725","112500","110000","107300","107500","110000","114000","118000","120000","117500"
"E12000002","North West","E07000030","Eden","85000","114000","148250","165000","175000","184000","186250","175000","180000","176250","169400","174500","174000","182500","181950","180000","197750"
"E12000002","North West","E07000031","South Lakeland","97000","128000","161000","175000","190000","198250","210000","190000","200000","197500","195000","190000","200000","210000","215000","222000","220000"
"E12000002","North West","E08000001","Bolton","50000","59000","78000","94000","105000","116725","115000","107956","110000","105000","104500","108000","110500","117500","120000","124999","129995"
"E12000002","North West","E08000002","Bury","65000","77950","95000","114850","122000","129000","132500","125000","130000","120000","123000","123050","131350","140000","147000","155000","160000"
"E12000002","North West","E08000003","Manchester","55000","65000","86500","99950","118622.5","130000","128000","120000","123550","122500","123436","124000","130000","136500","144950","160000","166000"
"E12000002","North West","E08000004","Oldham","48000","55950","70000","85000","98000","110000","112000","100000","105000","102655","105000","108000","114000","115000","118000","124995","125000"
"E12000002","North West","E08000005","Rochdale","50000","59950","79950","90400","95000","110000","110000","100000","107500","99500","100000","105000","112000","115000","118997.5","122000","126000"
"E12000002","North West","E08000006","Salford","52000","64500","84000","94950","110000","119747.5","119000","114000","111000","108000","110000","108950","115000","123000","132000","146000","150250"
"E12000002","North West","E08000007","Stockport","89000","109950","134000","141000","150000","164475","163071.5","155000","160000","159000","160000","162000","170000","180000","190000","200000","217500"
"E12000002","North West","E08000008","Tameside","52000","65000","83000","94800","107000","120000","121000","105000","108000","105000","105000","107000","115000","118000","125000","130000","137250"
"E12000002","North West","E08000009","Trafford","110000","126950","153000","169000","175000","186850","185000","172936","185000","185000","184250","190000","199950","219250","235000","250000","270000"
"E12000002","North West","E08000010","Wigan","51000","63000","84500","94950","105000","114500","115000","105000","112000","107000","105000","106000","115000","118000","120000","126000","128000"
"E12000002","North West","E07000117","Burnley","29950","29950","36000","45000","61000","75000","80000","72500","74600","72000","74000","72000","77000","75000","81000","80000","85000"
"E12000002","North West","E07000118","Chorley","68000","84000","110000","125000","133000","137925","145000","132750","137487.5","132623","130000","135000","139725","150000","151500","156000","159000"
"E12000002","North West","E07000119","Fylde","82950","115000","140000","152500","165000","174950","169250","160000","170000","160000","155000","160000","164000","170500","177250","184500","180000"
"E12000002","North West","E07000120","Hyndburn","36000","37500","52000","66000","76000","90000","94000","82500","85000","85000","86000","86250","85000","88200","95000","96000","99725"
"E12000002","North West","E07000121","Lancaster","59000","76000","97500","117000","121000","130000","135000","124500","131000","125000","125000","130000","133000","135000","142500","145000","150000"
"E12000002","North West","E07000122","Pendle","33000","36000","46000","58100","75000","89725","92000","82500","85000","84500","80000","82500","88000","90000","95000","97250","100000"
"E12000002","North West","E07000123","Preston","55995","67000","86750","102230","115000","124950","124950","120000","123995","114950","121000","120000","124999.5","124997.5","123250","126000","130000"
"E12000002","North West","E07000124","Ribble Valley","84000","105500","145000","160500","172000","182500","185000","160000","174000","185000","173000","178250","179950","187000","185000","195995","197500"
"E12000002","North West","E07000125","Rossendale","45000","58500","77000","89950","100000","111775","110000","105000","110000","105000","102500","105000","108000","119725","119000","123475","128750"
"E12000002","North West","E07000126","South Ribble","70000","87000","117500","124997.5","131250","144000","143500","135000","140000","135000","132000","135000","140000","143000","150000","153000","155000"
"E12000002","North West","E07000127","West Lancashire","80000","99000","126950","137500","146250","157250","158000","151000","160000","150000","155000","157250","158000","162000","174999.5","179950","178500"
"E12000002","North West","E07000128","Wyre","70000","89950","117000","134000","138000","148000","145000","137725","140000","135000","131000","132500","130000","137500","140000","146500","148500"
"E12000002","North West","E08000011","Knowsley","55000","61500","88410","100000","111250","117000","113500","105000","108253","105000","103000","105000","108000","114725","115000","119995","122000"
"E12000002","North West","E08000012","Liverpool","48000","54950","79950","90000","103000","115310","115000","110000","112000","105000","109950","110000","112000","118000","118000","124000","127000"
"E12000002","North West","E08000014","Sefton","76500","92500","121000","133500","142000","150000","148000","145000","149950","140000","140000","135000","145000","147000","157000","160000","165000"
"E12000002","North West","E08000013","St. Helens","55000","65000","88000","99950","112000","120000","120000","110000","114950","107000","103500","104000","112000","111475","117750","125000","126000"
"E12000002","North West","E08000015","Wirral","66950","79000","105000","119950","129000","138825","137500","130000","135000","134000","135000","135000","140000","142000","149000","152000","159950"
"E12000003","Yorkshire and The Humber","E06000011","East Riding of Yorkshire","70000","89950","120000","128000","139000","148000","149000","135250","145000","138000","140000","138000","147000","150000","155000","165000","165000"
"E12000003","Yorkshire and The Humber","E06000010","Kingston upon Hull, City of","36950","45125","56000","66950","79000","88000","92000","80000","90000","85500","84950","86000","90000","94000","96000","108000","107000"
"E12000003","Yorkshire and The Humber","E06000012","North East Lincolnshire","47050","52500","72000","80000","94950","105000","107000","100000","112000","105000","105000","103500","115000","115000","120000","125000","126750"
"E12000003","Yorkshire and The Humber","E06000013","North Lincolnshire","53000","69000","89950","100000","110000","119500","122000","114000","117000","114000","110000","112000","120000","123000","126000","132500","136000"
"E12000003","Yorkshire and The Humber","E06000014","York","100225","128000","144000","159950","164000","178000","179950","163416.5","175000","175000","175000","180000","188000","205050","215000","226000","235000"
"E12000003","Yorkshire and The Humber","E07000163","Craven","87950","115000","137000","152000","167750","177000","175000","163500","174750","175375","170000","168000","175000","182500","182000","200000","197500"
"E12000003","Yorkshire and The Humber","E07000164","Hambleton","110000","133250","171000","190000","187975","204250","197000","180000","197250","198975","200000","195000","200000","205000","213999.5","223250","226000"
"E12000003","Yorkshire and The Humber","E07000165","Harrogate","119000","148500","170000","184950","191000","215000","212500","195000","215000","212000","210000","212000","220000","237000","250000","255000","267500"
"E12000003","Yorkshire and The Humber","E07000166","Richmondshire","83950","119000","152000","160000","167500","185000","186000","175000","190000","196250","180000","190950","187500","184000","195000","200000","200000"
"E12000003","Yorkshire and The Humber","E07000167","Ryedale","96000","129000","158750","180000","182000","195000","202000","170000","189000","188000","175000","180000","178500","185000","200000","210000","220000"
"E12000003","Yorkshire and The Humber","E07000168","Scarborough","69950","89950","120000","138000","140000","150000","151000","135000","145000","144000","137000","138000","143000","148500","145000","155000","156050"
"E12000003","Yorkshire and The Humber","E07000169","Selby","84000","110000","135995","145000","150000","160000","163750","145000","158200","152850","154000","155000","159000","164950","174000","180000","190000"
"E12000003","Yorkshire and The Humber","E08000016","Barnsley","41250","52995","71800","85000","94950","106000","106000","97000","98000","95000","97000","99000","105000","106000","112000","115000","119975"
"E12000003","Yorkshire and The Humber","E08000017","Doncaster","47000","62000","85000","95000","105000","113000","115000","105000","112000","108000","106500","106500","115000","117500","120000","125000","123000"
"E12000003","Yorkshire and The Humber","E08000018","Rotherham","52000","65000","84000","97000","110000","119000","120000","112000","114250","110000","111000","115000","117500","122000","125000","130000","134000"
"E12000003","Yorkshire and The Humber","E08000019","Sheffield","63250","78750","100000","113000","122500","130000","130000","122750","130000","123500","125000","125000","130000","138500","140000","148750","157000"
"E12000003","Yorkshire and The Humber","E08000032","Bradford","53000","62500","82000","95000","110000","122500","124500","115000","120000","120000","115000","116500","120000","125000","125000","129000","131000"
"E12000003","Yorkshire and The Humber","E08000033","Calderdale","52500","65000","85000","98500","111000","122500","123000","112000","121750","118000","113000","119000","120000","125000","131375","133000","139995"
"E12000003","Yorkshire and The Humber","E08000034","Kirklees","57000","72000","93200","108000","119950","125000","127000","120000","125000","120000","120000","122000","125000","130000","135500","138500","145000"
"E12000003","Yorkshire and The Humber","E08000035","Leeds","76000","94000","117000","129000","135000","145000","144000","135000","145000","140000","140000","140000","145000","150000","158945","165000","172500"
"E12000003","Yorkshire and The Humber","E08000036","Wakefield","57972.5","77000","94000","110000","116000","124950","125000","117500","123000","115000","114000","117000","121500","123000","127000","135000","135000"
"E12000004","East Midlands","E06000015","Derby","62950","79000","100000","115000","119995","125000","125000","120000","124500","119000","121000","125000","130000","135000","139000","144725","150000"
"E12000004","East Midlands","E06000016","Leicester","64500","83000","105000","115000","118000","124900","125000","118000","120000","120000","119975","121000","125000","129000","139000","148000","160500"
"E12000004","East Midlands","E06000018","Nottingham","59950","79950","92997.5","98950","105000","106000","103000","98000","100000","95000","96000","95500","105000","110000","118000","127500","131730"
"E12000004","East Midlands","E06000017","Rutland","125000","154950","179950","195000","205500","210000","225000","202500","220000","209250","211350","217000","225000","228000","243000","267000","270000"
"E12000004","East Midlands","E07000032","Amber Valley","66000","84000","103000","115000","123000","130000","135000","125000","131000","126000","125000","127750","131000","143500","145000","152000","160000"
"E12000004","East Midlands","E07000033","Bolsover","41350","59950","78600","91000","97000","106995","110000","97000","102000","92500","93500","92650","102000","103500","111000","119995","124000"
"E12000004","East Midlands","E07000034","Chesterfield","56000","70000","93000","106975","117000","124950","125000","115000","122500","118000","116750","122000","125000","126125","135000","140000","148000"
"E12000004","East Midlands","E07000035","Derbyshire Dales","119000","139975","174000","197000","198000","220825","200000","185000","215000","205000","200000","210000","217000","220000","225000","236500","244000"
"E12000004","East Midlands","E07000036","Erewash","67500","84950","105000","115000","118500","124995","123500","116500","118000","117000","118000","120000","125000","133000","139950","145000","152500"
"E12000004","East Midlands","E07000037","High Peak","82500","100000","127500","135000","142975","155000","154000","146000","145000","143000","150000","148000","150000","155000","165000","172500","178000"
"E12000004","East Midlands","E07000038","North East Derbyshire","68225","87500","113000","127250","136975","144950","144500","140000","138000","142629","139000","140500","151000","155000","165000","172500","177700"
"E12000004","East Midlands","E07000039","South Derbyshire","76000","99000","122950","130000","139950","150000","149950","140000","146400","140000","145000","142750","150000","158500","164000","175000","179975"
"E12000004","East Midlands","E07000129","Blaby","89950","118000","135000","145000","150000","159000","158250","143750","148250","150000","148500","150000","160000","168000","180000","190000","206000"
"E12000004","East Midlands","E07000130","Charnwood","85000","110000","132500","142000","146000","155000","155000","139000","149975","150000","150000","150000","159972.5","165000","175000","185000","193000"
"E12000004","East Midlands","E07000131","Harborough","110000","145000","160000","172750","179950","190000","190000","175000","200000","185000","185000","190000","205000","219000","230000","243975","252000"
"E12000004","East Midlands","E07000132","Hinckley and Bosworth","85000","105000","124950","138975","143000","151000","150000","142000","147500","144000","143000","142000","150000","160000","165000","182500","193000"
"E12000004","East Midlands","E07000133","Melton","92500","116000","139000","146000","155000","160000","160000","147000","155000","155000","155000","160000","165000","170000","189495","192000","199950"
"E12000004","East Midlands","E07000134","North West Leicestershire","81000","105000","128500","136000","141000","150000","153000","140000","143250","145000","138000","145000","150000","156345","165500","171000","184000"
"E12000004","East Midlands","E07000135","Oadby and Wigston","84950","110000","133000","141000","145000","153950","155500","133500","147725","147000","140000","146000","151500","162500","174950","185000","200000"
"E12000004","East Midlands","E07000136","Boston","65000","82950","100000","109500","117000","125000","124950","115000","119000","120000","124995","123250","129000","135000","142000","145000","150000"
"E12000004","East Midlands","E07000137","East Lindsey","74000","92000","123000","130000","135000","144997.5","142975","130000","136250","133250","129000","130000","137250","145000","148000","159950","163500"
"E12000004","East Midlands","E07000138","Lincoln","59950","79000","97000","105000","114950","119500","120000","113500","115000","111000","115000","118000","124950","130000","134950","142500","145000"
"E12000004","East Midlands","E07000139","North Kesteven","79675","110000","130500","137500","141750","151000","155000","140000","148000","140000","141000","140250","152500","159000","170000","179950","185000"
"E12000004","East Midlands","E07000140","South Holland","80000","99000","126000","132625","136000","147500","145000","130000","138000","135000","135750","135000","145000","154000","161000","170000","185000"
"E12000004","East Midlands","E07000141","South Kesteven","87000","114000","134725","146500","150000","162500","165000","144500","157000","152500","150000","155000","165000","171000","184972.5","192000","205000"
"E12000004","East Midlands","E07000142","West Lindsey","65500","84000","116000","120000","128000","138995","142000","132750","144000","138000","134000","134000","150000","152000","154950","167500","175000"
"E12000004","East Midlands","E07000150","Corby","51950","60000","82000","90000","97000","118250","122500","109000","110500","103167","108000","112000","120500","128000","139950","160000","170000"
"E12000004","East Midlands","E07000151","Daventry","115950","138000","154000","163250","169000","185000","190000","175000","187500","176250","178000","185000","195500","205000","225000","249999","256000"
"E12000004","East Midlands","E07000152","East Northamptonshire","84000","112000","129000","136000","140000","149995","151750","140000","154950","147300","147000","145000","158000","166500","185000","195000","215000"
"E12000004","East Midlands","E07000153","Kettering","75000","93000","116850","120000","128500","138000","138000","127000","130000","125000","125000","130750","142000","151000","164000","178000","192500"
"E12000004","East Midlands","E07000154","Northampton","86500","107000","124000","128000","135000","142500","145000","129000","135000","134250","137000","138750","149995","159995","170000","188000","198000"
"E12000004","East Midlands","E07000155","South Northamptonshire","133000","163750","175250","186950","190000","215000","218000","192000","210000","212000","210000","215000","230000","250000","269475","280000","285000"
"E12000004","East Midlands","E07000156","Wellingborough","79000","92000","114250","124950","128000","135000","139995","127000","138000","133750","125000","135000","138250","154000","163500","185000","198500"
"E12000004","East Midlands","E07000170","Ashfield","53425","68000","86000","95000","102000","114500","110000","99950","100000","102500","102000","100000","111500","118000","120000","130000","135000"
"E12000004","East Midlands","E07000171","Bassetlaw","59500","76500","96000","110000","119400","124995","122000","118875","124950","120000","115000","120000","124995","126750","133725","140000","145000"
"E12000004","East Midlands","E07000172","Broxtowe","80000","102750","125000","133000","130000","139000","136750","129500","132000","130250","130000","135000","139000","147875","159000","160000","172875"
"E12000004","East Midlands","E07000173","Gedling","80000","99500","119950","129000","130000","134950","129125","123500","132500","127500","126000","125000","136000","142000","150300.5","163000","170000"
"E12000004","East Midlands","E07000174","Mansfield","47500","60000","81000","90000","98000","105000","109950","97000","105000","100000","98000","104000","110000","115000","122000","125000","130500"
"E12000004","East Midlands","E07000175","Newark and Sherwood","70000","91500","116000","125000","128000","137000","139475","131000","142000","135000","140000","140000","148000","146950","159997.5","165000","175000"
"E12000004","East Midlands","E07000176","Rushcliffe","120000","152500","171250","181000","187725","195000","187000","184975","193375","192000","189950","195000","202250","225000","239997.5","251025","252000"
